,link,id,locality,country,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace,garden,surface_land,swimming_pool,state_building,epc,public_sales,notary_sales
1,https://www.immoweb.be/en/classified/villa/for-sale/marke/8510/10954974,10954974,Kortrijk,Belgium,West Flanders,8510,1495000,HOUSE,VILLA,4.0,700.0,1,0,0,0.0,0.0,7999.0,0,GOOD,E,,
2,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/11126198,11126198,Brugge,Belgium,West Flanders,8000,315000,APARTMENT,APARTMENT,2.0,82.0,1,0,0,4.0,0.0,,0,GOOD,B,,
3,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/11104679,11104679,Brugge,Belgium,West Flanders,8000,349000,APARTMENT,APARTMENT,3.0,100.0,1,0,0,8.0,0.0,,0,GOOD,C,,
9,https://www.immoweb.be/en/classified/house/for-sale/braine-lalleud/1420/11126338,11126338,Nivelles,Belgium,Walloon Brabant,1420,337500,HOUSE,HOUSE,3.0,160.0,0,0,0,0.0,0.0,692.0,0,,G,,
11,https://www.immoweb.be/en/classified/villa/for-sale/uccle/1180/10836022,10836022,Brussels,Belgium,Brussels,1180,2750000,HOUSE,VILLA,5.0,420.0,1,0,0,,2800.0,3212.0,1,GOOD,,,
14,https://www.immoweb.be/en/classified/house/for-sale/rendeux/6987/11128863,11128863,Marche-en-Famenne,Belgium,Luxembourg,6987,465000,HOUSE,HOUSE,5.0,243.0,1,0,0,0.0,1000.0,1073.0,0,,C,,
15,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/11099790,11099790,Brugge,Belgium,West Flanders,8000,270000,APARTMENT,APARTMENT,1.0,69.0,1,0,0,9.0,0.0,,0,AS_NEW,,,
16,https://www.immoweb.be/en/classified/house/for-sale/lobbes/6540/9915683,9915683,Thuin,Belgium,Hainaut,6540,428000,HOUSE,HOUSE,3.0,209.0,0,0,0,0.0,0.0,724.0,0,,,,
17,https://www.immoweb.be/en/classified/house/for-sale/wuustwezel/2990/11015392,11015392,Antwerp,Belgium,Antwerp,2990,529000,HOUSE,HOUSE,4.0,210.0,0,0,0,0.0,0.0,413.0,0,GOOD,,,
18,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11130722,11130722,Brussels,Belgium,Brussels,1000,549000,APARTMENT,APARTMENT,2.0,90.0,1,0,0,14.0,0.0,,0,AS_NEW,C,,
19,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11103346,11103346,Bastogne,Belgium,Luxembourg,6600,289000,APARTMENT,APARTMENT,3.0,101.0,0,0,0,12.0,0.0,,0,GOOD,A,,
21,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/11112337,11112337,Antwerp,Belgium,Antwerp,2000,750000,APARTMENT,APARTMENT,2.0,135.0,1,0,1,14.0,,,0,GOOD,E,,
22,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/11099797,11099797,Brugge,Belgium,West Flanders,8000,280000,APARTMENT,APARTMENT,1.0,69.0,1,0,0,9.0,0.0,,0,AS_NEW,,,
23,https://www.immoweb.be/en/classified/flat-studio/for-sale/charleroi/6000/11075343,11075343,Charleroi,Belgium,Hainaut,6000,70000,APARTMENT,FLAT_STUDIO,1.0,38.0,1,0,1,0.0,0.0,,0,GOOD,C,,
24,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11120651,11120651,Brussels,Belgium,Brussels,1000,195000,APARTMENT,APARTMENT,1.0,33.0,1,1,1,3.0,0.0,,0,GOOD,E,,
26,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/11099793,11099793,Brugge,Belgium,West Flanders,8000,289000,APARTMENT,APARTMENT,1.0,73.0,1,0,0,9.0,0.0,,0,AS_NEW,,,
29,https://www.immoweb.be/en/classified/house/for-sale/antwerp/2000/11128241,11128241,Antwerp,Belgium,Antwerp,2000,665000,HOUSE,HOUSE,3.0,250.0,1,0,0,,70.0,202.0,0,AS_NEW,B,,
30,https://www.immoweb.be/en/classified/flat-studio/for-sale/namur/5000/11108871,11108871,Namur,Belgium,Namur,5000,202408,APARTMENT,FLAT_STUDIO,0.0,48.0,0,0,0,7.0,0.0,,0,AS_NEW,B,,
